卒中急风,卒中 急风
痰涎壅盛,痰涎 壅盛
痰涎壅塞,痰涎 壅塞
痰涎神昏,痰涎 神昏
痰涎闭塞,痰涎 闭塞
痰鸣气喘,痰鸣 气喘
痰迷发搐,痰迷 发搐
痰火哮喘,痰火 哮喘
痰多吐涎,痰多 吐涎
贪睡头晕,贪睡 头晕
胎漏下血,胎漏 下血
胎漏腹痛,胎漏 腹痛
素虚而患疟,素虚 患疟
四肢面目浮肿,四肢浮肿 面目浮肿
四肢羸瘦烦痛,四肢羸瘦 四肢烦痛
四肢拘挛作痛,四肢拘挛 四肢作痛
四肢拘急烦疼,四肢拘急 四肢烦疼
四肢烦热疼痛,四肢烦热 四肢疼痛
四肢烦倦麻痹,四肢烦倦 四肢麻痹
水肿臌胀,水肿 臌胀
瘦弱不孕,瘦弱 不孕
食少胸闷,食少 胸闷
食少泄泻,食少 泄泻
食少羸瘦,食少 羸瘦
食少劳嗽,食少 劳嗽
食少恶心,食少 恶心
食积停滞,食积 停滞
食积腹痛,食积 腹痛
失色黄瘦,失色 黄瘦
失眠多梦,失眠 多梦
失眠不寐,失眠 不寐
声重恶寒,声重 恶寒
声重鼻塞,声重 鼻塞
声音低微,声音 低微
呻吟昏愦,呻吟 昏愦
舌干津枯,舌干 津枯
舌淡苔薄,舌淡 苔薄
舌淡苔白,舌淡 苔白
舌淡口和,舌淡 口和
舌淡或紫暗,舌淡 舌紫暗
少力多倦,少力 多倦
上气咳嗽,上气 咳嗽
上逆冲心,上逆 冲心
上焦瘀血,上焦 瘀血
上焦壅热,上焦 壅热
上攻心痛,上攻 心痛
上攻下疰,上攻 下疰
伤胎易堕,伤胎 易堕
伤寒阴盛,伤寒 阴盛
伤寒头疼,伤寒 头疼
伤寒伤风,伤寒 伤风
伤寒咳嗽,伤寒 咳嗽
伤寒烦渴,伤寒 烦渴
痧疹癍疮,痧疹 癍疮
沙淋血崩,沙淋 血崩
沙淋白带,沙淋 白带
涩涩恶寒,涩涩 恶寒
瘙痒瘾疹,瘙痒 瘾疹
瘙痒疼痛,瘙痒 疼痛
肉消骨立,肉消 骨立
妊娠中风,妊娠 中风
妊娠心膈气滞,妊娠 心膈气滞
妊娠下血,妊娠 下血
妊娠下利赤白,妊娠 下利赤白
妊娠漏血,妊娠 漏血
妊娠痢疾,妊娠 痢疾
妊娠惊胎,妊娠 惊胎
妊娠烦躁,妊娠 烦躁
热毒气结燥,热毒 气结燥
热毒风疮,热毒 风疮
气胀疼痛,气胀 疼痛
气郁痰饮,气郁 痰饮
气盛血衰,气盛 血衰
气少血衰,气少 血衰
气怯力弱,气怯 力弱
气逆呕吐,气逆 呕吐
气逆结滞,气逆 结滞
气逆凑心,气逆 凑心
气乏萎顿,气乏 萎顿
气短神疲,气短 神疲
气短发喘,气短 发喘
气短喘喝,气短 喘喝
气促胸闷,气促 胸闷
气促头眩,气促 头眩
皮损肉烂,皮损 肉烂
呕吐择食,呕吐 择食
呕吐泄泻,呕吐 泄泻
呕吐不食,呕吐 不食
呕逆直视,呕逆 直视
呕逆吞酸,呕逆 吞酸
呕逆痰气,呕逆 痰气
呕逆酸水,呕逆 酸水
呕逆上气,呕逆 上气
呕逆反胃,呕逆 反胃
呕逆恶心,呕逆 恶心
凝滞腹疼,凝滞 腹疼
内虚气乏,内虚 气乏
内伤气血,内伤 气血
内伤冷食,内伤 冷食
内伤风郁,内伤 风郁
两胯连臀俱酸痛,两胯酸痛 臀酸痛
冷热气痛,冷热 气痛
冷热不调,冷热 不调
冷气不和,冷气 不和
冷癖血块,冷癖 血块
羸瘦萎黄,羸瘦 萎黄
羸瘦少食,羸瘦 少食
羸瘦少力,羸瘦 少力
羸瘦乏力,羸瘦 乏力
羸乏少力,羸乏 少力
劳损羸瘦,劳损 羸瘦
劳伤痿痹,劳伤冲任 痿痹
劳伤气血,劳伤冲任 气血
癞疮肿痛,癞疮 肿痛
困倦少力,困倦 少力
困倦目眩,困倦 目眩
狂言谵语,狂言 谵语
狂乱妄语,狂乱 妄语
口烂生疮,口烂 生疮
口苦生疮,口苦 生疮
口苦而干,口苦 口干
口干心闷,口干 心闷
口干微渴,口干 微渴
口干声哑,口干 声哑
口干烦躁,口干 烦躁
渴泻或呕,渴泻 呕
咳噫不止,咳噫 不止
咳血吐衄,咳血 吐衄
咳血咯血,咳血 咯血
咳嗽自汗,咳嗽 自汗
咳嗽胸满,咳嗽 胸满
咳嗽吐血不止,咳嗽 吐血不止
咳嗽吐血,咳嗽 吐血
咳嗽痰涎,咳嗽 痰涎
咳嗽痰多,咳嗽 痰多
咳嗽痰喘,咳嗽 痰喘
咳嗽生痰,咳嗽 生痰
咳嗽气急,咳嗽 气急
咳嗽脑痛,咳嗽 脑痛
咳嗽寒热,咳嗽 寒热
咳嗽肺胀,咳嗽 肺胀
咳嗽喘急,咳嗽 喘急
咳嗽鼻塞,咳嗽 鼻塞
咳逆热渴,咳逆 热渴
咳逆满闷,咳逆 满闷
咳逆不定,咳逆 不定
睛斜目闭,睛斜 目闭
结热成淋,结热 成淋
结块寒热,结块 寒热
急躁易怒,急躁 易怒
急慢惊风,急慢 惊风
积冷气块,积冷 气块
霍乱转筋,霍乱 转筋
霍乱吐泻,霍乱 吐泻
霍乱吐利,霍乱 吐利
恍惚语涩,恍惚 语涩
恍惚无主,恍惚 无主
恍惚失常,恍惚 失常
恍惚健忘,恍惚 健忘
恍惚多忘,恍惚 多忘
恍惚不安,恍惚 不安
红淋白带,红淋 白带
寒湿腰痛,寒湿 腰痛
寒湿气痹,寒湿 气痹
寒湿脚气,寒湿 脚气
寒湿白带,寒湿 白带
寒热蒸劳,寒热 蒸劳
寒热邪气,寒热 邪气
寒热头痛,寒热 头痛
寒热头疼,寒热 头疼
寒热疼痛,寒热 疼痛
寒热少食,寒热 少食
寒热腹痛,寒热 腹痛
寒热发歇,寒热 发歇
寒热发热,寒热 发热
寒热盗汗,寒热 盗汗
感冒体热,感冒 体热
感冒寒邪,感冒 寒邪
感风身痛,感风 身痛
腹中有血瘕疼痛,腹中有血瘕 腹中疼痛
腹中有块疼痛,腹中有块 腹中疼痛
腹中血气刺痛,腹中血气 腹中刺痛
腹胀头痛,腹胀 头痛
腹胁胀满疼痛,腹胁胀满 腹胁疼痛
腹胃膀胱疼痛,腹胃疼痛 膀胱疼痛
腹痛转筋,腹痛 转筋
腹痛腰酸,腹痛 腰酸
腹痛腰痠,腹痛 腰痠
腹痛腰脊痛,腹痛 腰脊痛
腹痛泄泻,腹痛 泄泻
腹痛下血,腹痛 下血
腹痛下利,腹痛 下利
腹痛怯风,腹痛 怯风
腹痛闷纵,腹痛 闷纵
腹痛闷乱,腹痛 闷乱
腹痛漏下,腹痛 漏下
腹痛困顿,腹痛 困顿
腹痛口渴,腹痛 口渴
腹痛拒按,腹痛 拒按
腹痛白带,腹痛 白带
腹脐腿足常冷,腹脐冷 腿足冷
腹内血瘕疼痛,腹内血瘕 腹内疼痛
腹内膨胀疼痛,腹内膨胀 腹内疼痛
妇人产后血下不尽,产后 血下不尽
风淫伤胃,风淫 伤胃
风血气块,风血 气块
风虚头痛,风虚 头痛
风虚劳损,风虚 劳损
风虚寒冷,风虚 寒冷
风邪停滞,风邪 停滞
风邪伤寒,风邪 伤寒
风邪惊悸,风邪 惊悸
风痰头眩,风痰 头眩
风湿疼痛,风湿 疼痛
风热外侵,风热 外侵
风火开疼,风火 开疼
风寒腰痛,风寒 腰痛
风寒湿痹,风寒 湿痹
风寒伤肺,风寒 伤肺
风寒客滞,风寒 客滞
风寒咳嗽,风寒 咳嗽
风寒发热,风寒 发热
风寒搏击,风寒 搏击
风毒上攻,风毒 上攻
风痹麻木,风痹 麻木
风痹脚气,风痹 脚气
肺壅咳嗽,肺壅 咳嗽
肺损咳嗽,肺损 咳嗽
肺热上攻,肺热 上攻
肺热久嗽,肺热 久嗽
肺寒咳嗽,肺寒 咳嗽
反胃吐逆,反胃 吐逆
反胃呕逆,反胃 呕逆
烦躁作渴,烦躁 作渴
烦躁易怒,烦躁 易怒
烦躁口干,烦躁 口干
烦热疼痛,烦热 疼痛
烦热苦渴,烦热 苦渴
烦闷嗜卧,烦闷 嗜卧
烦闷腹痛,烦闷 腹痛
烦闷耳鸣,烦闷 耳鸣
烦满短气,烦满 短气
烦乱恍惚,烦乱 恍惚
烦渴燥热,烦渴 燥热
烦渴欲饮,烦渴欲饮
烦渴闷乱,烦渴 闷乱
翻胃吐食,翻胃 吐食
发歇疼痛,发歇 疼痛
发歇寒热,发歇 寒热
发为潮热,发为 潮热
发热自汗,发热 自汗
发热有汗,发热 有汗
发热头疼,发热 头疼
发热体倦,发热 体倦
发热脉数,发热 脉数
发热恶寒,发热 恶寒
儿枕骨痛,产后 腹痛 骨痛
恶阻呕逆,恶阻 呕逆
恶心阻食,恶心 阻食
恶心择食,恶心 择食
恶心欲吐,恶心 欲吐
恶心吐逆,恶心 吐逆
恶心呕泻,恶心 呕泻
恶心呕吐,恶心 呕吐
恶心烦躁,恶心 烦躁
恶寒发热,恶寒 发热
恶风怕冷,恶风 怕冷
多卧少起,多卧 少起
多困少力,多困 少力
多困减食,多困 减食
多惊不睡,多惊 不睡
多悲不乐,多悲 不乐
痘疹作热,痘疹 作热
痘热不安,痘热 不安
痘后起疔,痘后 起疔
跌闪伤胎,跌打损伤 伤胎
跌打动胎,跌打损伤 动胎
癫狂言语失次,癫狂 言语失次
癫狂乱语,癫狂 乱语
盗汗虚烦,盗汗 虚烦
怠惰嗜卧,怠惰 嗜卧
怠堕嗜卧,怠堕 嗜卧
错语失神,错语 失神
创伤出血,疮伤 出血
喘嗽咯血,喘嗽 咯血
喘逆不食,喘逆 不食
喘急痰饮,喘急 痰饮
喘急咳嗽,喘急 咳嗽
喘急汗出,喘急 汗出
喘急烦闷,喘急 烦闷
喘急多汗,喘急 多汗
喘促噫气,喘促 噫气
喘促汗出,喘促 汗出
出痘胎动,出痘 胎动
出痘动胎,出痘 动胎
稠粘腥臭,稠粘 腥臭
抽筋麻木,抽筋 麻木
成胎屡堕,成胎 常堕
潮热有汗,潮热 有汗
潮热咳嗽,潮热 咳嗽
潮热盗汗,潮热 盗汗
常堕不安,常堕 不安
肠红痔血,肠红 痔血
肠红痞塞,肠红 痞塞
肠风痔疹,肠风 痔疹
肠风泻血,肠风 泻血
肠风下血,肠风 下血
肠风痢疾,肠风 痢疾
肠风背阴,肠风 背阴
产门不闭,产门 不闭
产后卒淋涩,产后 卒淋涩
产后子宫不收,产后 子宫不收
产后子肠下出,产后 子肠下出
产后诸血,产后 诸血
产后中风,产后 中风
产后脏虚不足,产后 脏虚不足
产后郁冒多汗,产后 郁冒 多汗
产后余疾,产后 余疾
产后腰痛,产后 腰痛
产后血晕,产后 血晕
产后血虚发热头痛,产后 血虚 发热 头痛
产后血脱,产后 血脱
产后血气冲心痛,产后 血气冲心痛
产后血块作痛,产后 血块作痛
产后血瘕,产后 血瘕
产后虚脱,产后 虚脱
产后虚弱,产后 虚弱
产后虚热,产后 虚热
产后虚满,产后 虚满
产后虚羸,产后 虚羸
产后虚烦,产后 虚烦
产后心腹切痛,产后 心痛 腹痛
产后泄泻,产后 泄泻
产后小便出血,产后 小便出血
产后小便不通,产后 小便不通
产后无乳汁,产后 无乳汁
产后无乳,产后 无乳
产后亡血过多,产后 亡血过多
产后外感,产后 外感
产后头痛,产后 头痛
产后痰血结滞,产后 痰血结滞
产后瘫痪,产后 瘫痪
产后上气,产后 上气
产后伤脬,产后 伤脬
产后蓐劳,产后 蓐劳
产后气力疲乏,产后 气力疲乏
产后脐下痛,产后 腹痛
产后偏身发热,产后 偏身发热
产后痞气,产后 痞气
产后呕逆,产后 呕逆
产后疟,产后 疟
产后尿血,产后 尿血
产后癃闭,产后 癃闭
产后流注,产后 流注
产后两胁胀满,产后 两胁胀满
产后痢疾,产后 痢疾
产后冷滑,产后 冷滑
产后类疟,产后 类疟
产后劳损,产后 劳损
产后口渴,产后 口渴
产后咳嗽,产后 咳嗽
产后咳清,产后 咳清
产后厥逆欲绝,产后 厥逆
产后倦甚,产后 倦甚
产后霍乱,产后 霍乱
产后魂魄不安,产后 魂魄不安
产后昏迷,产后 昏迷
产后秽污不尽,产后 秽污不尽
产后臌胀,产后 臌胀
产后腹中有块,产后 腹中有块
产后腹中坚硬,产后 腹中坚硬
产后腹胀,产后 腹胀
产后腹痛气胀,产后 腹痛气胀
产后腹痛,产后 腹痛
产后风虚,产后 风虚
产后忿怒,产后 忿怒
产后发热,产后 发热
产后恶血未尽,产后 恶血未尽
产后恶血内攻,产后 恶血内攻
产后恶血不散,产后 恶血不散
产后恶心,产后 恶心
产后恶霹不下,产后 恶露不下
产后恶露不止,产后 恶露不止
产后恶露不下,产后 恶露不下
产后恶露不净,产后 恶露不净
产后恶露不尽,产后 恶露不尽
产后恶露不行,产后 恶露不行
产后带下久不止,产后 带下久不止
产后带下,产后 带下
产后吹乳,产后 吹乳
产后冲任损伤,产后 冲任损伤
产后肠出不收,产后 肠出不收
便血症瘕,便血 症瘕
背膊连项拘急疼痛,背膊拘急 背膊疼痛
崩中带下,崩中 带下
崩中白带,崩中 白带
崩漏带下,崩漏 带下
崩带下,崩中 带下
怔忡健忘,怔忡 健忘
怔忡盗汗,怔忡 盗汗
产后赤白带下,产后 赤白带下
产后烦渴壮热,产后 烦渴 壮热
产后伤寒,产后 伤寒
妊娠伤寒,妊娠 伤寒
经来后期而量多,月经后期 月经过多
经行吐衄月经不去,经行吐衄 月经不去
女人风冷及血气,女人风冷 女人血气
妊娠滞下赤白,妊娠 赤白带下
