,cut_true_function,cut_false_function,cut_true_effect,cut_false_effect
148,祛风发汗,,虚弱头昏,外乳腺炎
149,消痰逐滞,,风寒咳逆,胸脘满闷
150,宣肺除痰,,食积呕吐,冲任不固
151,化瘀止痛,,障翳夜盲,小儿抽搐
152,健脾利水,,梅毒下疳,瘰疬疮毒
153,疏风解热,,腹胀痞满,溃破不敛
154,补虚益气,,郁闷心烦,妇女白带
155,渗湿利水,,寒湿郁滞,畏寒诸证
156,消痰化饮,,尿赤尿痛,烫火烫伤
157,温寒消瘕,,发热头痛,咽喉肿病
158,行气消疝,,泄泻腹痛,症瘕崩漏
159,舒筋活络,,虚痨咳血,胸腹胀闷
160,疏风清暑,,热毒斑疹,手足搐搦
161,敛疮定痛,,咳嗽气喘,小儿语迟
162,敛肺降火,,通经散瘀,四肢乏力
163,利尿解毒,,腹痛泻痢,脘腹胁痛
164,清热止血,,喉痹口疮,胃肠实热
165,行气化湿,,疮疡痈肿,胸膈郁气
166,化瘀活血,,经闭腰痛,腰脚软弱
167,补火助阳,,血虚津亏,手足痛风
168,补心止汗,,反胃呕吐,素体阳盛
169,消暑利湿,,头晕吐逆,关节肿痛
170,行气止泻,,气虚水肿,肢体瘫痪
171,消瘀止痛,,血热酒毒,扁桃体炎
172,养胃和中,,膨胀胀痛,牙齿动摇
173,暖胃止呃,,跌损骨折,肝经风热
174,益精催乳,,痞满作胀,咳嗽少痰
175,退热除疟,,伤风感冒,目亦肿痛
176,祛湿止痢,,肺虚热咳,心气郁结
177,清肝凉血,,恶风冷气,心脾两虚
178,降火止渴,,寒湿伤中,不便不利
179,健胃利肠,,跌扑闪挫,病后虚热
180,镇惊定搐,,肾虚耳聋,预防中暑
181,祛风痰,,热毒疥癣,关节酸痛
182,益气生肌,,疖肿疗疮,肾囊肿胀
183,行瘀定痛,,痈疡肿毒,流水刺痒
184,调经安胎,,食滞腹胀,妇女血虚
185,固肾缩尿,,胃寒呃逆,伤口不合
186,潜阳止血,,咽痛喉痹,蛇毒咬伤
187,清肺化痰,,吐血便血,上部痈肿
188,清肺利咽,,疔肿疖疮,亡阳虚脱
189,降肺气,,热病头痛,脘胁疼痛
190,清热消肿,,牙痛口臭,精神萎靡
191,升提中气,,呕逆食少,跌打风湿
192,解毒定惊,,瘿瘤脚气,喘嗽不止
193,补肾填髓,,头痛胸闷,胎气不和
194,消肿定痛,,久疟发热,腰脊冷痛
195,清肺祛痰,,疮疗肿痛,产后虚劳
196,止血止痛,,热瘀经闭,腰肌劳损
197,解毒祛瘀,,咳嗽痰多,外病体虚
198,杀虫疗癣,,烦热惊狂,腰脚痿弱
199,清热平肝,,上吐下泻,外阴湿痒
200,补气益肾,,惊风癫疾,痈疽肿痛
201,活血续伤,,湿疹疫痒,手足抽搐
202,缩宫止血,,疹毒内陷,脉弦而紧
203,强心补肾,,窦道瘘管,子宫肌瘤
204,发汗解暑,,短气脉虚,阴囊出汗
205,填精补虚,,津枯血燥,食滞腹痛
206,止血和瘀,,气胀腹痛,火热牙痛
207,益气养心,,负湿热痹,目中障翳
208,解热健胃,,痰少粘腻,小儿疳眼
209,补虚消疳,,寒饮咳喘,痔疾出血
210,温肾助阳,,痈疽溃疡,妊娠子痫
211,止痒杀虫,,惊痫搐搦,深部脓肿
212,破积消肿,,心烦神倦,肢体不遂
213,益心润肺,,脾虚血少,咖啡肿痛
214,理气消食,,眼赤肿痛,卒然昏迷
215,行血止痛,,疮疖肿毒,气血亏虚
216,养阴生津,,腹痛肠鸣,外感热病
217,消积除疳,,劳热骨蒸,角膜混浊
218,益阴补血,,疮痈肿毒,肝肾虚弱
219,渗湿辟秽,,痰壅喘咳,胎盘难下
220,消食顺气,,痈疮瘰疬,菠萝中毒
221,破瘀通经,,心悸浮肿,伤暑发热
222,散寒化浊,,遗精阳萎,肠胃积滞
223,散风寒,,跌打内伤,喉风肿闭
224,顺气止痛,,津伤口渴,心神不宁
225,镇疼解毒,,风热声嘶,痘疹难出
226,止痛渗湿,,商热神昏,肝胆火旺
227,化淤止痛,,湿疹疮毒,腰腿麻木
228,活血通脉,,湿浊中阻,筋骨酸软
229,破血逐瘀,,闪挫金伤,胸腹积水
230,益气补血,,蛔虫腹痛,胸内热痰
231,清热疗疮,,头昏头胀,疮面糜烂
232,消积导滞,,遗精夜尿,小儿雀目
233,消食化积,,麻木拘挛,骨节疼痛
234,清热凉肝,,反胃吐酸,胎死腹中
235,消炎退肿,,痰稀色白,暑日烦渴
236,清肝利水,,惊风癫痫,热性湿毒
237,敛疮止痒,,湿疹疥癣,两目昏暗
238,燥湿清热,,赢瘦乏力,脘腹虚痛
239,润肺滋阴,,咳嗽痰血,饮食停滞
240,行血去瘀,,阴痒带下,瘿瘤瘰疬
241,消肿拔脓,,湿疹搔痒,食滞不化
242,祛湿杀虫,,瘰疬痈疽,水火烫伤
243,祛风疏肝,,中暑无汗,产后体亏
244,健脾理气,,湿疹湿疮,五脏虚损
245,祛风生发,,头风头痛,妇女宫冷
246,消炎镇痛,,疮疡疔疖,经血不调
247,清热通淋,,痰湿上蒙,皮肤痒疮
248,益肾润肺,,遗精遗尿,木薯中毒
249,消食下气,,干咳无痰,脾气虚弱
250,攻毒破积,,疮疖癣疥,腰脚痿软
251,养血补心,,风瘫壅盛,吐痰诸症
252,宣肺透疹,,下痢脓血,皮肤枯燥
253,除热止烦,,尿频遗尿,脘腹胀闷
254,通腑泄热,,痨伤吐血,耳内流脓
255,滋阴清热,,祛风痰,翳膜胬肉
256,祛风镇惊,,风癣疥癞,活动不利
257,补肾止咳,,癫痫痰盛,流血不止
258,安神解郁,,血虚身痛,痈疽无头
259,活血除湿,,阴虚风动,泛吐清水
260,滋阴生津,,喘逆气急,妊娠呕吐
261,收敛解毒,,梦遗滑粗,肿胀积聚
262,和胃化湿,,降肺气,晕船呕吐
263,安神止痛,,肾虚腰痛,肚腹冷痛
264,清肝利胆,,暑湿烦渴,毒虫咬伤
265,健脾燥湿,,风湿肢肿,肺寒喘咳
266,益肾强筋,,疮肿湿烂,术后出血
267,消积解毒,,膈食呕吐,小儿疫气
268,消肿化瘀,,燥咳声嘶,小儿麻痹
269,养阴润燥,,便血崩漏,风湿积聚
270,温肺益气,,胸满气促,皮肤瘙痒
271,泻肺清热,,风湿冷痛,肌肤破损
272,镇痛止血,,气虚赢弱,咳嗽有痰
273,止咳消积,,硬肿疼痛,痰少而粘
274,消食解毒,,肾虚咳喘,热淋尤宜
275,祛风行气,,跌打损任,四肢抽搐
276,散风止痛,,气郁暴厥,小儿胎毒
277,祛风止惊,,热痰咳嗽,邪热壅肺
278,祛湿濡筋,,痈疔疮疖,损伤筋骨
279,利咽消肿,,痰厥昏迷,两乳胀痛
280,淡渗利尿,,目昏耳鸣,劳伤脚弱
281,行气宽中,,头昏口燥,腹中冷痛
282,祛痰消炎,,舌红口干,汗出恶风
283,涩肠止泻,,湿热腹泻,稻田皮炎
284,息风止惊,,热疖痈肿,老人干咳
285,祛风通痹,,虚劳蒸热,外袭于咽
286,下气定喘,,身热心烦,牙龈红肿
287,活血去瘀,,痰凝气滞,中风痰壅
288,驱风祛湿,,风痹汗多,藏医肺炎
289,行血通经,,久泻肠滑,睾丸肿痛
290,止痛通络,,喉干音哑,胃服不足
291,理气止血,,腹痛泄痢,口眼歪斜
292,行血消肿,,青盲雀目,筋骨萎软
293,理气健脾,,暑湿厌食,头颅伤痛
294,强壮补气,,经闭症瘕,腹中癖块
295,温肺化饮,,温热癍疹,中风窍闭
296,祛痰定喘,,风毒癞疾,产妇乳少
297,消积利湿,,伤燥咳嗽,胸闷不舒
298,宽胸消痰,,高热烦躁,皮肤痒痛
299,活血散结,,头昏头晕,小儿行迟
300,润肤防裂,,痰咳喘满,小儿腥泻
301,清暑凉营,,湿热内蕴,筋骨无力
302,明目润肺,,水积黄肿,痢疾诸证
303,祛风止痉,,热盛津伤,臂部作痛
304,接筋续骨,,高热伤津,外阴白斑
305,补肾强骨,,痰火哮喘,筋络不舒
306,破积杀虫,,呕逆吐酸,背痈溃烂
307,开窍醒神,,水肿尿少,口噤不开
308,解热镇痛,,散风寒,鱼蟹中毒
309,续骨生肌,,胃热消渴,腰肌扭伤
310,化湿消肿,,肺热痰喘,胸胁胀痛
311,清肝除翳,,痈疽疥癣,咯痰黄稠
312,调气散结,,腹痛便秘,胎动不安
313,接骨疗伤,,肺燥咳血,脚癣感染
314,消痈解毒,,腹满泄泻,头发早白
315,破积行瘀,,症瘕臌胀,疔毒内攻
316,活血止痛,,咳壅咳喘,虚劳损伤
317,化脓除疳,,痈肿疮疖,瘫缓不遂
318,清热杀虫,,上焦烦热,小儿高烧
319,行气散瘀,,痢下脓血,腰膝疼痛
320,除腐生新,,麻疹发热,风痰壅塞
321,温中益胃,,阳虚水肿,四肢挛痛
322,消肿利水,,血虚面黄,产后流血
323,平肝明目,,精亏不育,心悸不眠
324,行气通便,,跌打闪扭,前列腺炎
325,泻火消炎,,创伤骨折,经脉不利
326,驱风除湿,,筋伤骨断,多种肿瘤
327,散结祛痰,,胃病吐酸,四肢酸麻
328,缓急止痛,,肾虚喘促,脉洪数者
329,调中益气,,热淋尿血,内服吐血
330,祛湿健脾,,结核潮热,痔疮下血
331,益精固气,,中风昏迷,脾胃湿热
332,接骨止血,,跌打积瘀,痢下赤白
333,解表止咳,,脾虚泻泄,妇人经闭
334,止血止泻,,痈疽发背,泻下如注
335,止嗽平喘,,疔疮痈肿,小儿湿疹
336,收敛生肌,,咳嗽咳血,心下痞硬
337,养阴敛汗,,中满腹胀,乳结疼痛
338,温胃散寒,,肾虚身冷,腹中包块
339,解毒行瘀,,吐泻腹痛,腰膝酸冷
340,解毒泻火,,头胀头痛,肠胃有寒
341,解毒利水,,咳嗽痰粘,经行腹痛
342,益气行血,,脾虚少食,赤自痢疾
343,泻火解毒,,肺热喘咳,水肿聚起
344,清心明目,,热疮肿毒,小儿痰哮
345,驱风下气,,血虚经闭,藏医眼痛
346,息风镇痉,,湿疹臁疮,饮食减少
347,清火化痰,,泄泻痢疾,腹中胀满
348,止痛通窍,,烦渴胸闷,浸渍肌肤
349,泻热通便,,风热头胀,脾胃气滞
350,益血填精,,疖疮痈肿,肢节酸楚
351,根：气痛,,虚弱赢弱,脚膝酸软
352,托疮排脓,,头晕心悸,喉中痰鸣
353,润肺降气,,血虚筋挛,津液失布
354,驱风散寒,,纳少乏力,痄腮证
355,滋养肝肾,,毒肿结热,水气肿满
356,补血活血,,虚劳羸瘦,子宫脱垂
357,解毒化浊,,湿气腿肿,小儿遗尿
358,补血润燥,,气郁结滞,小儿蛔虫
359,清热止渴,,腰酸腿软,干咳失音
360,壮腰益肾,,阴虚咳血,筋软无力
361,消炎杀菌,,乳食停滞,肢体烦疼
362,祛湿解暑,,痈肿疖毒,经行不畅
363,益肾补元,,目赤咽痛,胃脘疼痛
364,温中健脾,,肠炎痢疾,腹胁胀满
365,清胃止泻,,外病气虚,皮肤痰核
366,下气消谷,,眩晕失眠,小儿久泻
367,破血下气,,风湿痿弱,胸中满闷
368,健胃化积,,咳嗽头痛,皮肤皴裂
369,解酒醒脾,,疥瘌恶疮,小儿乳积
370,解毒消肿,,水肿腹痛,暑显吐泻
371,暖胃止痛,,痰饮痞积,鼻生息肉
372,益气明目,,跌打瘀血,小儿痘疹
373,疏肝行气,,肺热壅盛,小儿风疹
374,活血和瘀,,风温痹痛,全身疼痛
375,散寒止痛,,泄泻下痢,毒蜂螫伤
376,清凉解暑,,淋沥涩痛,伤食泻痢
377,凉血止痢,,暑热痧气,瘀膜遮晴
378,温经散寒,,阴虚外感,筋骨被伤
379,壮阳补血,,咳嗽痰结,经期腹痛
380,温胃止痛,,疮毒痈疽,肝脾不和
381,健胃止痢,,气逆津伤,四肢不温
382,泻下攻积,,淋马腺炎,面色无华
383,行气消积,,脾虚便溏,小儿丹毒
384,填精补髓,,心悸自汗,膀胱宿水
385,补肾强腰,,气闭耳聋,脘腹痞满
386,散瘀止血,,久嗽虚喘,疹痧不透
387,降逆止咳,,热毒壅盛,小儿赤秃
388,止血散瘀,,热毒疮疖,脘腹冷痛
389,消食止血,,呕吐呃逆,闭阻于内
390,消暑化湿,,跌伤肿痛,白带脱肛
391,拔脓生肌,,疖肿痈疽,唇齿干燥
392,疏风清热,,痈疽痔疮,慢性咽痛
393,理气开胃,,多泪怕光,胁下痞块
394,补劳止汗,,肝郁气滞,咳痰黄稠
395,退热除湿,,痰热咳嗽,产妇血崩
396,补气壮阳,,食滞脘痛,湿阻中焦
397,收湿生肌,,风湿骨痛,胸胁痞满
398,熄风镇惊,,湿气水肿,饮食少进
399,解郁安神,,肺热喘痰,寒湿腹痛
400,滋阴泻火,,扭伤骨折,海蛇咬伤
401,解表祛湿,,瘰疬痈肿,食欲减退
402,祛风散瘀,,阴虚血热,小儿脐风
403,透疹解毒,,头风风痹,肺结咳嗽
404,祛淤活血,,虚劳咳嗽,翳障遮睛
405,清热解表,,热盛神昏,老年痰喘
406,消积止痢,,头痛咽痛,膀胱失约
407,调经补血,,跌打伤肿,疮口难合
408,养阴清热,,久咳痰多,皮肤病痒
409,消积健胃,,咳嗽痰喘,精神短少
410,活血散淤,,寒湿痹痛,身目浮肿
411,温中化食,,血热毒盛,头发枯燥
412,和中开胃,,吐泻转筋,烧伤疼痛
413,解暑止渴,,热病伤阴,散血热
414,补肺益脾,,疥癣痒疹,胞膈胀闷
415,祛风胜湿,,痈肿毒疮,湿痹疼痛
416,干用和血,,口噤强直,手足逆冷
417,行血祛瘀,,久疟癖块,容易感冒
418,清炎止痛,,脚痹痿软,湿热淋症
419,收湿敛疮,,下痢腹痛,耳部肿瘤
420,消食止渴,,疮痈疔毒,经脉不畅
421,止咳定痛,,跌损瘀凝,周身浮肿
422,疏散退热,,疮疖疔毒,肺痿吐血
423,破血行气,,心悸怔肿,乳汗不下
424,补肾活血,,脘痛腹胀,热盛伤津
425,疏风搜风,,津伤燥渴,湿疮瘙痒
426,祛痰散结,,咳嗽咽干,民间痢疾
427,益气健脾,,纳呆腹痛,动物咬伤
428,利湿消疳,,阴暑头痛,心烦不眠
429,敛伤生肌,,跌伤瘀痛,精血亏损
430,补脾化痞,,肾虚脱发,四肢痿肢
431,滋阴补血,,感冒风热,四肢挛急
432,退热除烦,,脾虚带下,食俗不振
433,清热明目,,耳聋耳鸣,年老衰弱
434,散结利咽,,热病发热,厨师发热
435,祛寒发汗,,气滞腹疼,虚劳不足
436,止血止痢,,痢疾黄疸,目生翳膜
437,解表退热,,头痛身痛,嗳气则舒
438,清热养心,,寒瘀痛经,心腹烦满
439,解毒消痈,,肾虚目昏,气阴不足
440,解毒止泻,,痰火热结,肌肉酸痛
441,截疟宣肺,,伤寒反汗,目疾多泪
442,祛湿化瘀,,肺虚寒嗽,膀胱结气
443,润燥止咳,,肾性水肿,咽干诸症
444,清热息风,,肝热头痛,肿痛异常
445,清热除烦,,虚痨发热,小儿疳耳
446,理气散寒,,风热肿毒,心胸烦热
447,除风祛湿,,气亏血虚,肝热目赤
448,行气散结,,鼻塞流涕,脾胃火邪
449,平肝潜阳,,风寒暑湿,蛇早咬伤
450,蚀疮生肌,,水湿膨胀,服疽不消
451,清积导滞,,下痢便泄,筋骨不利
452,安神定惊,,急躁易怒,关节不利
453,清火解毒,,疮疡疥癣,屈伸不利
454,解热生津,,疥疮风癣,心腹急痛
455,和胃止呕,,痞闷胀满,肾虚不固
456,消积破聚,,风气头痛,食谷不化
457,镇咳祛痰,,头风脑痛,外力出血
458,解毒散瘀,,痈疮脓肿,精血亏虚
459,降逆和胃,,腹胀腹痛,肢体肿胀
460,敛疮防腐,,暑热泄泻,牙床出血
461,止渴生津,,腹满食少,饮食乏味
462,利水通乳,,梅毒炭疽,皮肤伤损
463,活血消痈,,中恶腹痛,全身发痒
464,解毒消疮,,虚劳消渴,胸膈胀闷
465,滋阴补虚,,吐血胸痛,宿食不消
466,温肾散寒,,痰多气短,筋骨急痛
467,通经消食,,血痢腹痛,妇女不孕
468,利湿清热,,癓瘕积块,胆道结石
469,除湿行气,,胸痹心痛,产后便血
470,平喘利尿,,疗疮肿毒,手术出血
471,活血镇痛,,血瘀肿痛,胸膈饱胀
472,止咳下气,,痈疖疮疡,外可接骨
473,平肝熄风,,阴虚血亏,心火上炎
474,凉血消斑,,结核咳嗽,脘腹冷育
475,驱蛔止痛,,痔漏脱肛,女子带下
476,止血接骨,,虚劳消瘦,燥涩不通
477,活络止痛,,伤寒头疼,产后头痛
478,镇咳祛瘀,,湿毒疮疡,小儿慢惊
479,排脓拔毒,,胎热胎动,手脚痿缩
480,和胃止痛,,身热无汗,脉虚涩弱
481,活血通络,,疖疮肿痛,久病虚弱
482,解痉安神,,疮疡疔肿,肿毒溃烂
483,健胃消积,,疮痈疔肿,暑热痧症
484,镇惊熄风,,气滞胃痛,乳房胀痛
485,清热止痛,,癫狂惊痫,子宫颈癌
486,温肾纳气,,红肿热毒,暑热伤津
487,解表化湿,,便秘尿赤,寒结肿毒
488,消痰止咳,,肠痔下血,皮肤风湿
489,祛风理气,,寒饮咳嗽,小儿惊痫
490,止血凉血,,症瘕癖积,筋骨痿软
491,理气通便,,淋漓不尽,各种头痛
492,敛带杀虫,,湿热泄泻,老痰积块
493,目咳祛痰,,痈疽疔肿,气滞咳嗽
494,补肺敛气,,肺虚气喘,风疹身痒
495,健脾补气,,高热神昏,两胁胀痛
496,开胃化痰,,肺热阴虚,金创疼痛
497,镇咳止痢,,消渴尿多,热痢初起
498,镇痉息风,,口苦口干,腹泻痢疾
499,利尿消肿,,湿热黄疸,口角歪斜
500,补肾固精,,阴亏目昏,慢性便秘
501,降逆止呃,,目赤弱障,食后腹胀
502,益肝解毒,,食少吐泻,肺燥干咳
503,续筋接骨,,热病痉厥,肢节拘挛
504,健胃理气,,风热牙痛,淋涩不通
505,化湿止痛,,乳癌乳痈,牙齿肿痛
506,益气消肿,,秃疮疥癣,小儿麻疹
507,活血消瘀,,肺损咳嗽,杨梅毒疮
508,行瘀通经,,口苦耳鸣,毒蛇蛟伤
509,活络健脾,,寒热疟疾,肢体倦怠
510,清胃止呕,,气逆喘急,臁疮不愈
511,解毒消炎,,呕恶泄泻,妇女经痛
512,止咳止痰,,蓄血发黄,筋骨挛急
513,补肾续骨,,心悸乏力,腹中症瘕
514,温阳益精,,口渴喉干,伤口红肿
515,破积逐水,,霍乱吐利,水肿实证
516,清肝泄热,,食滞胀闷,扁机体炎
517,利湿止痒,,阴虚肺燥,妇女痨病
518,解毒疗咽,,腹水水肿,痞块不消
519,止呕定喘,,痈疖疔疮,遍身瘙痒
520,生肌敛伤,,阴疽痿管,肢节酸疼
521,利尿平喘,,阴寒腹痛,胞衣不下
522,消炎止痢,,目赤昏痛,预防乙脑
523,止血敛带,,通乳黄疸,饮食不节
524,利尿通乳,,活血凉血,疮痈红肿
525,补中缓肝,,瘰疬结核,心脏衰弱
526,利担退黄,,脾虚食积,脾虚不运
527,清热散风,,畏风怯寒,腰伤疼痛
528,滑肠通便,,虚热心烦,湿疹痛痒
529,清热宣肺,,肠鸣便泻,烦热不眠
530,利湿消肿,,目昏目赤,久病及肾
