Unnamed: 0,Unnamed: 0.1,名称,别名,Taste,Type,Function,Effect,摘自,Unnamed: 9
28,28,矮脚龙胆,小龙胆草,寒、苦,missing,降火、清热,目赤肿痛、牙痛、咽喉肿痛、疔疮疖肿,中华本草,missing
29,29,矮脚苦蒿,鱼胆草、苦艾、劲直假蓬、金龙胆草、金蒿枝、刘寄奴、细苦蒿、毛苦蒿、油蒿、龙胆草,平、苦,missing,解毒、泻火、止血、清热,慢性气管炎、扁桃体炎、咽喉炎、口腔炎、肾炎、黄疸型肝炎、眼结晶膜炎、中耳炎、疮疡、牙痛、鼻衄、便血、崩漏、外伤出血,中华本草,missing
30,30,矮醋栗,黄果矮茶藨。,平、苦,肺、膀胱,清热、祛风,感冒发热，咳嗽,中华本草,missing
31,31,卜芥,独脚莲、观音莲、广东万年青、山芋、老虎耳、小虫芋、虎耳芋、狼毒、尖尾凤、野山芋、假海芋、老虎芋、大麻芋、大附子、猪不拱、猪管豆、化骨丹、蛇芋、大虫芋、狗神芋、姑婆芋,寒、苦、辛、毒,肺,解毒、散结止痛、清热,流感、钩端螺旋体病、疮疡痛毒初起、瘰疬、蜂窝组织炎、慢性骨髓炎、毒蛇蛟伤、毒峰螫伤,中华本草,missing
32,32,八月札,畜葍子、拿子、桴棪子、覆子、八月楂、木通子、压惊子、八月瓜、预知子、八月炸、八月果、百日瓜、牵藤瓜、冷饭包、拉拉果、野香交、羊开口、腊瓜。,平、苦,胃、肝,软坚散结、利小便、活血止痛、疏肝和胃,肝胃气滞，脘腹，饮食不消，下痢便泄，疝气疼痛，腰痛，经闭痛经，瘿瘤瘰疬，恶性肿瘤,中华本草,missing
33,33,八月瓜,牛腰子果、六月瓜、小八瓜、哪瓜、黄狗肾、木王瓜、八月果、野人瓜、刺藤果、牛懒袋果。,凉、苦,心、膀胱、肝,活血通脉、行气、利湿、止痛、清热,小便短赤、淋浊、水肿、风湿痹痛、跌打损伤、乳汁不通、疝气痛、子宫脱垂、睾丸炎,中华本草,missing
34,34,八仙过海,missing,温、辛、毒,肺、大肠、胃、肝,舒筋活络、截疟、祛风除湿,跌打损伤、风湿痹痛、四肢麻木、腰膝痿软、急性胃肠炎、疟疾,中华本草,missing
35,35,八仙草,小锯藤、锯子草、小茜草、小飞扬藤、红丝线、血见愁、细茜草、拉拉藤、小舒筋、,寒、苦、辛,missing,利尿通淋、解毒、止痛、消肿、清热,痈疽肿毒、乳腺炎、阑尾炎、水肿、感冒发热、痢疾、尿路感染、尿血、牙龈出血、刀伤出血,中华本草,missing
36,36,八楞木,八棱麻、青竹标、八面风、三棱草,平、苦、辛,missing,除湿、散瘀、止痛、祛风,风湿痹痛、跌打损伤,中华本草,missing
37,37,八角香,蜘蛛草、羊角天麻,温、辛,missing,散瘀、解毒、杀虫,风湿浮肿、无名肿毒、瘌癣,中华本草,missing
38,38,八角莲叶,鬼臼叶,平、苦、辛,肺,止咳平喘、解毒、清热,痈肿疔疮、喘咳,中华本草,missing
39,39,八角莲,鬼臼、爵犀、马目毒公、九臼、天臼、解毒、害母草、独脚莲、独荷草、羞天花、术律草、琼田草、山荷叶、旱荷、八角盘、金星八角、独叶一枝花、八角连、金魁连、八角乌、白八角莲、金边七,凉、苦、辛、毒,肺、肝,祛瘀、解毒、化痰散结、止痛、清热,咳嗽、咽喉肿痛、瘰疬、瘿瘤、痈肿、疔疮、毒蛇咬伤、跌打损伤、痹证,中华本草,missing
40,40,八角金盘,手树、金刚纂,温、苦、辛、毒,missing,除湿、散风、化痰止咳、止痛、化瘀,咳嗽痰多、风湿痹痛、痛风、跌打损伤,中华本草,missing
41,41,八角茴香,舶上茴香、大茴香、舶茴香、八角珠、八角香、八角大茴、八角、原油茴、八月珠、大料、五香八角,温、甘、辛,胃、脾、肾、肝,理气、止痛、散寒,寒疝腹痛、腰膝冷痛、胃寒呕吐、脘腹疼痛、寒湿脚气,中华本草,missing
42,42,八角枫花,牛尾巴花,平、辛、毒,胃、肝,理气、止痛、散风,头风头痛、胸腹胀痛,中华本草,missing
43,43,八角枫根,白龙须、白金条、白筋条,温、苦、辛、毒,心、肾、肝,除湿、舒筋活络、散瘀、止痛、祛风,风湿痹痛、四肢麻木、跌打损伤,中华本草,missing
44,44,八股绳,missing,missing,missing,通络、活血、利湿、消肿,跌打损伤、腰痛、水肿,中华本草,missing
45,45,八宝茶,甘青卫矛。,寒、苦、辛,肝,调经、祛瘀、通络、止痛,月经不调、产后瘀阴腹痛、跌打肿痛、半身不遂,中华本草,missing
46,46,不灰木,无灰木,寒、甘、毒,肺、膀胱,除烦、利尿、清肺止咳、清热,肺热咳嗽、咽喉肿痛、烦热阳厥、小便不利、热痱疮,中华本草,missing
47,47,不凋木,格棒子、格棒棒,温、苦,missing,益肾、调中,腰膝酸痛,中华本草,missing
48,48,贝母兰,石巴蕉、对叶果、果上叶、止血果、小绿芨,凉、甘、辛,肺、肾,定痛、止咳、止血、清热,支气管炎、感冒、骨折、软组织挫伤、外伤出血,中华本草,missing
49,49,巴掌草,红草鞋、狮子利、狮子尾、狗舌草,平、苦、酸,missing,散瘀、解毒、消肿、清热,疔疮肿毒、毒蛇咬伤、脾肿大、肺结核咳血、跌打损伤,中华本草,missing
50,50,巴茅根,野苇子、红紫,凉、甘,missing,活血、清热,干血痨、潮热、产妇失血口渴、牙痛,中华本草,missing
51,51,巴戟天,巴戟、巴吉天、戟天、巴戟肉、鸡肠风、猫肠筋、兔儿肠,温、甘、辛,肾、肝,除湿、强筋壮骨、补肾助阳、祛风,肾虚阳痿、遗精早泄、少腹冷痛、小便不禁、宫冷不孕、风寒湿痹、腰膝酸软、风湿肢气,中华本草,missing
52,52,巴豆油,missing,热、辛、毒,心、大肠,通关开窍、峻下寒积,厥证、喉痹、寒积腹痛,中华本草,missing
53,53,巴豆叶,双眼龙叶、大叶双眼龙叶。,温、辛、毒,大肠、三焦,解毒、活血、杀虫、祛风,疟疾、痹证、跌打损伤、缠腰火丹、疮癣、蛇伤,中华本草,missing
54,54,巴豆树根,大叶双眼龙根、挡蛇剑、独行千里。,温、辛、毒,心、肾、肝,解毒、温中、杀虫、镇痛、散寒、祛风,胃痛、寒湿痹痛、牙痛、外伤肿痛、痈疽疔疮、毒蛇咬伤,中华本草,missing
55,55,巴豆壳,巴豆皮。,温、辛,missing,温中消积、解毒杀虫,泄泻、痢疾、腹部胀痛、瘰疬痰核,中华本草,missing
56,56,巴豆,巴菽、刚子、江子、老阳子、双眼龙、猛子仁、巴果、双眼虾、红子仁、巴贡、巴米、毒鱼子、銮豆、贡仔、八百力、巴仁、芒子、药子仁、芦麻子、腊盘子、大风子、泻果。,热、辛、毒,肺、大肠、胃、脾、肾、肝,蚀疮、泻下寒积、逐水退肿、杀虫、祛痰利咽,寒邪食积所致的胸腹胀满急痛、大便不通、泄泻痢疾、水肿腹大、痰饮喘满、喉风喉痹、痈疽、恶疮疥癣,中华本草,missing
57,57,巴东岩白菜,岩白菜、石白菜,凉、甘,missing,明目、调经、补肾,目昏多泪、肾虚腰痛、月经不调,中华本草,missing
58,58,巴旦杏仁,八担仁、巴达杏仁、叭哒杏仁、巴旦杏、偏桃、婆淡树、偏核桃、匾桃、忽鹿麻、京杏。,苦、甘、毒,心、大肠、肝,润肠通便、活血化瘀,痛经，血滞经闭，产后瘀滞腹痛，跌打损伤，瘀血肿痛，肺痛，肠痛，肠燥便秘,中华本草,missing
59,59,巴巴花,土黄花、巴巴叶、土黄芪、磨盘草。,平、淡,missing,解毒、清热,感冒发热、腮腺炎、甲状腺肿大、神经衰弱、小便不利、疮疖、脚癣和耳鸣,中华本草,missing
60,60,布朗耳蕨,贯众、耳蕨贯众,凉、苦,肺、脾,解毒、杀虫、止血、清热,流感、乙脑、痄腮、鼻衄、崩漏、蛲虫病、头疮白秃,中华本草,missing
61,61,布狗尾,土狗尾、长穗狸尾草、兔狗尾、猫公树、防虫草、猫上树、狐狸尾。,凉、淡,大肠、脾,消积、杀虫、止血、清热,感冒、咳嗽、疟疾、吐血、咯血、尿血、外伤出血、小儿疳积、丝虫病,中华本草,missing
62,62,边缘鳞盖蕨,missing,寒、苦,肝,解毒、活络、清热、祛风,痈疮疖肿、风湿痹痛、跌打损伤,中华本草,missing
63,63,北鱼黄草,钻之灵、小瓠花,寒、苦、辛,脾、肾,活血、解毒,劳伤疼痛、疔疮,中华本草,missing
64,64,北丝石竹,商陆、银柴胡,寒、苦,膀胱,逐水、利尿,水肿、小便不利,中华本草,missing
65,65,北沙参,真北沙参；海沙参；根条参；菜阳参；辽沙参；野香菜根,凉、甘,肺、胃,养阴清肺、益胃生津,肺燥干咳、虚劳嗽血、胃级不足、津伤口干,中华本草,missing
66,66,北风草,毛绣球防风、银针七、灯笼草、楼台夏枯草、白风轮菜、白花仔、白菜匙、糖鸡草、野芝麻、猫 耳朵草、节节花、老虎花、白 骨九苏、白花茶匙红、白花塔仔草、金线薄荷、白花草、鼠尾癀,平、苦、辛,missing,明目、清肺、解毒,肺热咳嗽、胸痛、咽喉肿痛、目赤青盲、乳痈、湿疹、跌打损伤,中华本草,missing
67,67,北方点地梅,雪山点地梅、喉咙草,寒、苦、辛,missing,解毒、止痛、消肿、清热,风火赤眼、咽喉红肿、疮疡肿痛,中华本草,missing
68,68,北豆根,蝙蝠葛根、北山豆根、马串铃、狗骨头、野豆根、山豆根、黄根、黄条香苦豆根、山豆秧根（内蒙）。,寒、苦、毒,肺、大肠、胃,解毒、止痛、利湿、消肿、清热,咽喉肿痛、肺热咳嗽、痄腮、泻痢、黄疸、风湿痹痛、痔疮肿痛、蛇虫咬伤,中华本草,missing
69,69,包袱七,半碗水、铁骨散、包袱莲、一块砖,凉、苦、辛、毒,肺、肝,祛瘀、解毒、止痛、化痰散结、清热,咽喉肿痛、痈肿、疔疮、肺炎、腮腺炎、毒蛇咬伤、瘰疬、跌打损伤,中华本草,missing
70,70,半柱花,狗泡草、毛虫包、火溧藤、白飘草、白泡草、三失母头、疳积草、出泡草,凉、苦、辛,missing,解毒、利湿、止痛、消肿、止痒、清热,痢疾、疮疡、湿疹、皮肤瘙痒、毛虫刺伤、跌打,中华本草,missing
71,71,半圆盖阴石蕨,missing,凉、苦、涩,肺、脾、肾、肝,除湿、散瘀、通络、祛风,风湿疼痛、感冒发热、急性扁桃体炎，破伤风、跌打损伤、骨折、肾炎水肿,中华本草,missing
72,72,半夏,水玉、地文、和姑、害田、示姑、羊眼半夏、地珠半夏、麻芋果、三步跳、泛石子、老和尚头、老鸹头、地巴豆、无心菜根、老鸹眼、地雷公、狗芋头,温、辛、毒,肺、胃、脾,降逆止呕、消痞散结、燥湿化痰,咳喘痰多、呕吐反胃、胸脘痞满头痛眩晕、夜卧不安、瘿瘤痰核、痈疽肿毒,中华本草,missing
73,73,半蒴苣苔,山白菜、天目降龙草、石花菜、尿桶草、石花、牛蹄草、牛舌头、白观音扇、石塔青、降龙草、石杓麦、乌梗子、岩茄子、岩苋菜、牛耳朵菜、蚂拐菜、大蚂拐菜、麻脚杆、岩莴苣、石莴苣,平、苦,missing,利湿、解毒、清热,湿热黄疸、咽喉肿痛、毒蛇咬伤、烧烫伤,中华本草,missing
74,74,半拉子,见风干、半柱子、千金鹅耳枥,平、甘、淡,missing,健胃、消食,脾胃虚弱、食欲不振、脘腹胀满、消化不良,中华本草,missing
75,75,半截叶,锅铲叶、金边莲、半节叶、半节观音、铲叶西番莲。,温、苦,missing,杀虫截疟、祛风湿、补肝肾、活血调经,风温滑痛、腰酸背痛、肝炎、肝硬化、月经不调、跌打损伤、骨折、疟疾、蛔虫病,中华本草,missing
76,76,半枫荷叶,missing,温、甘、淡,脾、肝,活血、止血,外伤出血,中华本草,missing
77,77,半枫荷根,枫荷桂、半边枫荷、阴阳叶、三不怕、铁巴掌、白背枫、半梧桐、番张麻、大叶半枫荷。,温、甘、辛,脾、肝,除湿、通络、活血、祛风,风湿痹痛、手足麻木、腰肌劳损、脚气、跌打损伤,中华本草,missing
78,78,半春莲,半层莲、大叶黄龙缠树、野苞芦、蜻蜓兰、龙珠参、山豆芽、狼扇、虎头蕉,凉、苦、辛,心、脾,解毒、消肿、清热,虚火牙痛、鹅口疮、无名肿毒、毒蛇咬伤、跌打损伤、风湿痹痛,中华本草,missing
79,79,半边苏,野鱼香、野苏、火胡麻,温、苦、辛,missing,调经、解毒、消肿、止血、发表、祛风,感冒、头痛、瘫痪、劳伤吐血、崩漏、月经不调、痛经、疮痈肿毒,中华本草,missing
80,80,半边山,missing,凉、苦、甘,missing,解毒、接骨、利湿、消肿、清肝,跌打伤肿、骨折、风湿红肿、火眼、黄疸,中华本草,missing
81,81,半边旗,甘草蕨、甘草凤尾蕨、半边莲、半边蕨、半凤尾草、半边风药、凤凰尾巴草、单边旗、半边梳,凉、苦、辛,大肠、肝,解毒、凉血、利湿、消肿、止血、清热,泄泻、痢疾、黄疸、目赤肿痛、牙痛、吐血、痔疮出血、外伤出血、跌打损伤、皮肤瘙痒、毒蛇咬伤,中华本草,missing
82,82,半边藕,missing,寒、苦,missing,利湿、清热,小便淋沥涩痛、腰痛、浮肿,中华本草,missing
83,83,半边莲,急解索、蛇利草、细米草、蛇舌草、鱼尾花、半边菊、半边旗、奶儿草、半边花、箭豆草、顺风旗、单片芽、小莲花草、绵蜂草、吹血草、腹水草、疳积草、白腊滑草、金菊草、金鸡舌、片花莲、偏莲、瓜仁草、蛇啄草、长虫草,平、甘,肺、心、小肠,解毒、利水、消肿、清热,毒蛇咬伤、痈肿疔疮、扁桃体炎、温疹、足癣、跌打损伤、湿热黄疸、阑尾炎、肠炎、肾炎、肝硬化腹水及多种癌症,中华本草,missing
84,84,半边风,老虎斑,温、辛,心,祛风湿、通经络,风湿痹痛、四肢麻木、跌打损伤,中华本草,missing
85,85,白猪母菜,对主从神仙、六月雪、白胶墙、母草,寒、甘、淡,missing,解毒、凉血、止血、清热,湿热泻痢、目赤肿痛、尿血、痔疮肿痛,中华本草,missing
86,86,白猪栗根,missing,平、苦、涩、辛,missing,止泻、收敛,肠炎、腹泻,中华本草,missing
87,87,白猪栗,滇锥栗、椎栗,missing,missing,益肾、宁心,心悸、耳鸣、腰痛,中华本草,missing
88,88,白猪鼻孔,白侧耳、圆叶蕺菜,寒、苦,missing,利水、解毒、清热,肺痈、湿热带下、白浊、小便不利、疮疖肿毒,中华本草,missing
89,89,白珠树,老虎尿、老虎面、满山香、牛头药,温、辛,missing,除湿、通络、止痛、祛风,风湿痹痛、跌打损伤,中华本草,missing
90,90,白朱砂莲,朱砂莲、一点血、躲蛇生、毒蛇药、避蛇生。,寒、苦、辛,肺、心、肝,解毒、止痛、理气、清热,湿热痢疾、泄泻、脘腹疼痛、咽喉肿痛、肺结核、毒蛇咬伤、痈肿,中华本草,missing
91,91,白芷叶,莴麻,平、辛,missing,解毒、祛风,瘾疹、丹毒,中华本草,missing
92,92,白芷,虈、芷、芳香、苻蓠、泽芬、晼、白茞、香白芷,温、辛,肺、胃、脾,除湿、排脓、止痛、通窃、消肿、祛风,感冒头痛、眉棱骨痛、牙痛、鼻塞、鼻渊、湿胜久泻、妇女白带、痈疽疮疡、毒蛇咬伤,中华本草,missing
93,93,白云花根,独活、云南独活、恙活骨、恙活、土全归、岩川、白云花、法罗海、毛爪参、滇独活、香白芷、鹤庆独活、白毛参,温、苦、辛,missing,除湿、平喘、散瘀痛、止咳、祛风,风寒感冒、风寒湿痹、腰痛、胃痛、腹痛、牙痛、虚寒咳喘、白带、经闭腹痛、疝气疼痛、跌打瘀肿,中华本草,missing
94,94,白云瓜叶,missing,missing,missing,missing,伤寒头疼、肺热鼻衄,中华本草,missing
95,95,白云瓜皮,missing,missing,missing,missing,酒糟鼻,中华本草,missing
96,96,白云瓜花,missing,missing,missing,missing,鼻渊,中华本草,missing
97,97,白云瓜梗,missing,missing,missing,解毒,走马牙疳,中华本草,missing
98,98,白鱼尾果,missing,平、苦,missing,驱虫、消肿,小儿蛔虫病、疳积,中华本草,missing
99,99,白鱼尾,溪桃、野桃、杨波叶、蒲羌癀、白波越子、白背枫、白花醉鱼草、白鱼鲫、山苦桃、白鸡公尾、白背叶、尖尾枫、黄合叶、王记叶、单叶埔姜、独叶埔姜、白花洋泡、七里香、贼侧草、羊耳朵、瘴气花,温、苦、辛、毒,missing,行气、活血、化湿、祛风,头风痛、风湿痹痛、胃脘痛、腹胀，痢疾、跌打骨折、无名肿毒、湿疹、皮肤瘙痒,中华本草,missing
100,100,白鱼,鲌鱼、鱎鱼、白扁鱼,平、甘,胃、脾,健脾行水、开胃、消食,食积不化、水肿,中华本草,missing
101,101,白颖苔草,missing,平、苦、涩、甘,三焦、胃、脾、肾,清热利尿通淋,乳糜尿,中华本草,missing
102,102,白叶藤,铁边、蜈蚣草、篱尾蛇、藤羊角扭、母乳藤、对面笑、红藤仔、鸟仔藤、淋汁藤、飞杨藤、牛蹄藤、脱皮藤、扛棺回,凉、甘、毒,missing,散瘀、解毒、止痛、止血、清热,肺热咳血、肺痨咯血、胃出血、痈肿、疮毒、跌打刀伤、蛇虫咬伤,中华本草,missing
103,103,白叶火草,白背艾、火门艾、大叶艾、满山香、大白叶子火草,平、淡,missing,散热、散风、利水湿、定喘咳,感冒发热、咳喘、小便淋涩、肾炎水肿,中华本草,missing
104,104,白叶不翻,白地紫菀、大火草、牛耳朵火草、小一支箭、白头翁,平、苦、辛,missing,消积、化痰、杀早清热,感冒、咳嗽气喘、痢疾、胃痛、消化不良、蛔虫症、外伤出血,中华本草,missing
105,105,白药子,白药、白药根、山乌龟。,凉、苦、辛、毒,肺、脾、肾,解毒、凉血、止痛、清热、止血、祛风,咽喉肿痛、热毒痈肿、风湿痹痛、腹痛、泻痢、吐血、衄血、外伤出血,中华本草,missing
106,106,白药,白药草乌,温、辛、毒,missing,祛风湿、止痛,风湿痹痛、跌打伤痛,中华本草,missing
107,107,白杨枝,missing,寒、苦,missing,消积、解毒、敛疮、行气,腹痛、腹胀、症块、口吻疮,中华本草,missing
108,108,白杨叶,missing,寒、苦,missing,解毒、敛疮、止痛、祛风,龋齿疼痛、骨疽、臁疮,中华本草,missing
109,109,白杨树皮,白杨皮、山杨皮,寒、苦,missing,祛风、驱虫、活血、利湿、清热,风痹、脚气、扑损瘀血、痢疾、肺热咳嗽、口疮、牙痛、小便淋沥、蛔虫病,中华本草,missing
110,110,白杨树根皮,missing,平、苦,missing,利温、驱虫、止咳、清热,肺热咳喘、淋浊、白带、妊娠下痢、蛔虫病,中华本草,missing
111,111,白鸭肉,骛肉,平、咸、甘,肺、脾、肾,消肿、补益气阴、利水,虚劳骨蒸、咳嗽、水肿,中华本草,missing
112,112,白线薯,红藤、山乌龟、一滴血。,寒、苦、毒,胃、肝,解毒、行气、活血、止痛、清热、祛风,胃痛、风湿痹痛、跌打损伤、痛经、痈疖肿毒、湿疹,中华本草,missing
113,113,白苋,细苋、糠苋、野苋、猪苋,寒、甘、淡,大肠、小肠,利湿、解毒、清热,痢疾、泄泻、小便赤涩、疮肿、蛇虫螫伤、牙疳,中华本草,missing
114,114,白鹇,白鵫、白翰、鵫雉、雗雉、白雗、白雗、白雉、文雗、越禽、银鸡、银雉,平、甘,肺、脾,补气、益肺、健脾,脾胃虚弱、食欲不振、食后饱胀、大便溏泄、虚劳发热、咳嗽,中华本草,missing
115,115,白鲜皮,北鲜皮、藓皮、野花椒根皮、臭根皮。,寒、苦、咸,肺、小肠、胃、膀胱、脾,解毒、清热、燥湿、止痒、祛风,风热湿毒所致的风疹、湿疹、疥癣、黄疸、湿热痹,中华本草,missing
116,116,白仙茅,细叶刺参、刺参,温、苦、甘,missing,被肾壮阳、舒筋、活血、益肺、健脾,肺虚咳嗽、脾虚消化不良、肾虚阳痿、带下、子宫脱垂、跌打损伤、骨折,中华本草,missing
117,117,白薇,葞、春草、芒草、白微、白幕、薇草、骨美、白龙须、龙胆白薇、山烟根子、拉瓜瓢、白马薇、巴子根、金金甲根、老君须、老虎瓢根、婆婆针线包、东白微,寒、苦、咸,肺、胃、肝,疗疮、解毒、利尿、通淋、益阴、清热,主治温热、身热斑疹、潮热骨蒸、肺热咳嗽、产后虚烦、热淋、血淋、咽喉肿痛、疮痈肿毒、毒蛇咬伤,中华本草,missing
118,118,白土茯苓,白萆薢、白土苓、土茯苓、铁架子土茯苓、九牛力、千斤力、土萆薢,平、甘、淡,missing,解毒、利湿、消肿、清热,小便淋涩、白浊、带下、痈肿疮毒,中华本草,missing
119,119,白透骨消,透骨消、连钱草、活血丹、见肿消,温、辛,missing,解毒、活血、利湿、祛风,风湿痹痛、跌打损伤、肺痈、黄疸、急性肾炎、尿道结石、痄腮,中华本草,missing
120,120,白头翁茎叶,白头翁草,寒、苦,胃、肝,解毒、止痛、利尿、消肿、泻火,主治风火牙痛、四肢关节疼痛、秃疮、浮肿,中华本草,missing
121,121,白头翁花,missing,寒、苦,脾、肝,杀虫、解毒、清热,主治疟疾、头疮、白秃疮,中华本草,missing
122,122,白头翁,野丈人、胡王使者、白头公,寒、苦,大肠、胃,解毒、凉血、杀虫、止痢、燥湿、清热,赤白痢疾、鼻衄、崩漏、血痔、寒热温疟、带下、阴痒、湿疹、瘰疬、痈疮、眼目赤痛,中华本草,missing
123,123,白藤,大发汗、白花藤、大毛豆、断肠叶,平、辛,肺、肝,散瘀、解毒、活血、杀虫,慢性胃炎、黄疸型肝炎、跌打肿痛、骨折、疔疮、湿疹、疥疮、蛔虫病,中华本草,missing
124,124,白檀,砒霜子、蛤蟆涎、白花茶、牛筋叶、檀花青,寒、苦,missing,解毒、调气散结、清热、止痒、祛风,乳腺炎、淋巴腺炎、肠痈、疮疖、疝气、荨麻疹、皮肤瘙痒,中华本草,missing
125,125,白苏子油,missing,温、辛,missing,润肠、乌发,肠燥便秘、头发枯燥,中华本草,missing
126,126,白苏子,荏子、玉竹子,温、辛、毒,肺、大肠、脾,润肺、宽肠、消痰、下气,咳逆、痰喘、气滞便秘,中华本草,missing
127,127,白苏叶,荏叶,温、辛,肺、脾,疏风宣肺、理气消食、解鱼蟹毒,感冒风寒、咳嗽气喘、脘腹胀闷、食积不化、吐泻、冷痢、中鱼蟹毒、男子阴肿、肢气肿毒、蛇虫咬伤,中华本草,missing
128,128,白苏梗,missing,温、辛,missing,消食、安胎、止痛、顺气,食滞不化、脘腹胀痛、感冒、胎动不安,中华本草,missing
