Name,Label,Other_Name,Taste,Type,Effect,Treat
山李子,0,刺黄柏、则热克,苦、寒,肺、大肠,降血压,['高血压']
牛耳大黄,0,土大黄、牛舌头叶、金不换、四季菜根、火风棠、羊蹄根、牛耳大黄根、羊蹄、牛舌片,苦、寒,心、肝、大肠,清热、凉血、化痰、止咳、通便、杀虫,"['急性肝炎', '慢性气管炎', '吐血', '血崩', '血小板减少性紫瘢', '大便燥结', '痢疾', '疥癣', '秃疮', '疔', '疖']"
牛抄藤,0,长叶海金沙、驳筋藤、介指藤、缠藤、柳叶海金沙、海金沙、左壮藤、坐转藤、加吊藤、戒指藤,甘、微苦、寒,肾、肝、大肠,舒筋、活络、清热、利湿、止血,"['风湿麻木', '跌打损伤', '尿路感染', '泌尿系结石', '水肿', '痢疾', '疮痈肿毒', '小儿口疮', '火眼', '癣疾', '外伤出血']"
牡鼠粪,0,鼠矢、两头尖、雄鼠粪、豭鼠粪,苦、咸、寒,肝、肾、大肠,导浊、行滞、清热、通瘀,"['伤寒劳复发热', '疝瘕', '腹痛', '淋浊', '经闭', '疳积', '乳痈', '鼠瘘', '疔肿']"
苦参,0,野槐、好汉枝、苦骨、地骨、地槐、山槐子、川参、凤凰爪、牛参、野槐根、山槐根、地参,苦、寒,肝、肾、大肠、小肠,清热、燥湿、祛风、杀虫,"['湿热泻痢', '肠风便血', '黄疸', '小便不利', '水肿', '带下', '阴痒', '疥癣', '麻风', '皮肤瘙痒', '湿毒疮疡']"
苦木,0,苦皮树、苦树皮、苦皮子、苦胆木、赶狗木、熊胆树、土樗子、黄楝瓣树、山熊胆、苦胆树、黄楝树、苦力芽、进口苦、黄檀木、臭辣子、苦树、鱼胆树、青鱼胆、狗胆木、苦木霜、苦弹子、土苦楝、野漆木、秤杆树、金条子,苦、寒,肺、大肠,抗菌、消火、祛湿、解毒,"['感冒', '急性扁桃体炎', '肠炎', '湿疹', '毒蛇咬伤']"
镰羽贯众,0,巴兰贯众,苦、寒,肺、大肠,清热、解毒、驱虫,"['流行性感冒', '肠寄生虫病']"
芦荟,0,奴荟、卢会、讷会、象胆、奴会、劳伟,苦、寒,肝、大肠,清肝热、通便,"['便秘', '小儿疳积', '惊风', '外湿癣']"
芦荟叶,0,0,苦、涩、寒,肝、大肠,泻火、通经、杀虫、解毒,"['白浊', '尿血', '妇女经闭', '带下', '小儿惊痫', '疳积', '烫伤', '痔疮', '疥疮', '痈肿']"
十大功劳叶,0,功劳叶,苦、寒,肝、胃、肺、大肠,清热、补虚、止咳、化痰,"['肺痨咳血', '骨蒸潮热', '头晕耳鸣', '腰酸腿软', '心烦', '目赤']"
鹿梨,0,檖、赤罗、罗、山梨、杨檖、鼠梨、赤萝、树梨、酸梨、野梨、阳檖、糖梨、杜梨,酸、涩、寒,大肠,健脾、消食、涩肠、止痢,"['饮食积滞', '泻痢']"
绿豆叶,0,0,苦、寒,肝、大肠,和胃、解毒,"['霍乱吐泻', '斑疹', '疔疮', '疥癣', '药毒', '火毒']"
绿绒蒿,0,阿拍色鲁,苦、涩、寒,肝、肾、大肠,清热、利湿、止咳,"['肺炎咳嗽', '湿热黄疸', '水肿', '创伤久不愈合']"
狗狗秧,0,打碗花、夫儿苗、狗娃秧、马剌楷,甘、寒,脾、胃、大肠、小肠,清肝热、滋阴、利小便,"['肝阳上亢', '头晕', '目眩', '小便不利']"
马齿苋,0,马齿菜、马苋菜、猪母菜、瓜仁菜、瓜子菜、长寿菜、马蛇子菜、马齿草、马苋、五行草、马齿龙芽、五方草、长命菜、九头狮子草、酸苋、安乐菜、长命苋、酱瓣豆草、蛇草、酸味菜、狮子草、地马菜、蚂蚁菜、马踏菜、灰苋、酱瓣草、豆板菜、地马莱、耐旱菜,酸、寒,大肠、肝,清热、解毒、凉血、止血,"['热毒血痢', '痈肿疔疮', '湿疹', '丹毒', '蛇虫咬伤', '便血', '痔血', '崩漏下血']"
马齿苋子,0,马齿苋实,甘、寒,肝、大肠,清肝、化湿、明目,"['青盲白翳', '泪囊炎']"
马尔康水黄连,0,水黄连,苦、寒,大肠、肝,清热、燥湿、解毒,"['腹痛下痢', '头晕']"
朴消,0,朴硝石、消石朴、海末、朴硝、盐消、皮消、水消、海皮硝、毛硝、朴消石、海皮消、毛消,辛、苦、咸、寒,胃、大肠,泻热、润燥、软坚,"['实热积滞', '腹胀便秘', '停痰积聚', '目赤肿痛', '喉痹', '痈肿']"
马尾连,0,马尾黄连、金丝黄连、草黄连,苦、寒,心、肝、大肠,清热、燥湿、泻火、解毒,"['肠炎', '痢疾', '黄疸', '目赤肿痛']"
樗白皮,0,樗皮、臭椿皮、苦椿皮,苦、涩、寒,胃、大肠,除热、燥湿、涩肠、止血、杀虫,"['久痢', '久泻', '肠风便血', '崩漏', '带下', '遗精', '白浊', '蛔虫']"
猫爪子,0,歧序唐松草、坚唐松草,苦、寒,肝、大肠,清热、解毒、制酸,"['急性结膜炎', '传染性肝炎', '痢疾', '胃病吐酸']"
毛发唐松草,0,珍珠莲、马尾黄连、水黄连,苦、寒,肺、大肠,清热、解毒、燥湿,"['热盛烦', '肺炎', '小儿高热惊风', '肠炎', '痢疾', '百日咳', '膀胱炎', '结膜炎', '咽喉炎', '痈肿疮疖']"
毛贯众,0,小龙骨、小贯众、蕨难脑、蕨务子、细叶土凤尾、雌鸡尾,苦、寒,肺、大肠,清热、解毒、平喘、止血、敛疮、驱虫,"['感冒', '目赤捉痛', '气喘', '便血', '疮毒溃烂', '烫伤', '钩虫病']"
毛足铁线蕨,0,毛脚钱线蕨、猪鬃草,微苦、平、寒,肾、肝、大肠,清热、解毒、利尿、通淋,"['痢疾', '尿路感染', '白浊', '乳腺炎']"
磨盘草子,0,0,辛、甘、寒,肝、大肠,通窍、利水、消热、解毒,"['耳聋', '乳汗不通', '水肿', '便秘', '痢疾', '痈疽肿毒']"
土黄芩,0,0,苦、寒,肺、大肠,清肺、止咳、燥湿、止痢,"['肺热咳嗽', '咯血湿热', '泄泻痢疾']"
维特他,0,野芝麻、野芝麻棵、山芝麻,苦、寒,肺、大肠,截疟、清热、解毒,"['恶性疟疾', '感冒高热', '扁桃体炎', '腮腺炎', '肠炎', '蛇虫咬伤']"
委陵菜,0,毛鸡腿子、野鸡膀子、蛤蟆草、山萝卜、翻白草[山东]、白头翁[湖北]、翻白菜、根头菜、野鸩旁花、黄州白头翁、龙牙草、天青地白、小毛药、虎爪菜、老鸦翎、老鸦瓜、地区草、白头翁、野鸠旁花、老鸦爪、翻白草、野鸡脖子、痢疾草,苦、寒,肝、大肠,祛风湿、解毒,"['痢疾', '风湿筋骨疼痛', '瘫痪', '癫痫', '疮疥']"
五色梅,0,马缨丹、红彩花、头晕花、如意花、山大丹、大红绣球、珊瑚球、龙船花、臭金凤、昏花、七变花、如意草、土红花、臭牡丹、杀虫花、毛神花、臭冷风、天兰草、臭草、五色花、五雷箭、穿墙风、野眼菜、五彩花、红花刺、婆姐花、大红乡球,苦、寒,大肠,清热、止血,"['肺痨咯血', '腹痛吐泻', '湿疹', '阴痒']"
芒消,0,盆消、芒硝、马牙消、英消,辛、苦、咸、寒,胃、肺、脾、肾、小肠、三焦、大肠,软坚、泻下、清热、除湿、破血、通经、消肿、疗疮,"['实热积滞', '腹胀便秘', '停痰积聚', '目赤障翳', '丹毒', '痈肿']"
芒硝,0,盆消、芒硝,咸、苦、寒,胃、大肠,泻热、润燥、软坚,"['实热积滞', '腹胀便秘', '停痰积聚', '口赤障翳', '丹毒', '痈肿']"
竹蜂,0,乌蜂、熊蜂、象蜂、笛师、留师、竹蜜蜂、竹筛蜂、竹筒蜂,甘、寒,胃、大肠,清热、化痰、定惊,"['小儿惊风', '口疮', '咽痛']"
山大黄,0,唐大黄、台黄、土大黄、峪黄、籽黄、北大黄、大黄、格西古讷、野大黄、酸酸草、黄古卵子、苦大黄、华北大黄、祁黄、庄黄,苦、寒,胃、大肠,泻热、解毒、凉血、行瘀,"['湿热黄疸', '痢疾', '经闭腹痛', '吐血', '衄血', '跌打瘀痛', '痈肿疔毒', '口舌糜烂', '烧烫伤']"
小龙胆草,0,青鱼胆草、雪里梅、小内消、细龙胆、凤凰花、小雪里梅、寒风草、小青鱼胆、小酒药花根、星秀花、血龙胆、青鱼胆、疔药、小龙胆、傍雪开、龙胆草、胆草、穿山七、九月花、草龙胆,苦、寒,心、肺、胃、大肠,清热、利湿、凉血、解毒,"['肺热咳喘', '痨嗽痰血', '黄疸', '痢疾', '便血', '小便不利', '产褥热', '小儿惊风', '疳积', '疮疡肿毒', '烧烫伤', '蛇咬伤']"
小杉藻,0,茶米菜、小杉海苔、小葡萄藻、茶叶藻,甘、咸、寒,胃、大肠,清热、和胃、通便,"['胃及十二指肠溃疡', '慢性便秘']"
小野鸡尾,0,海风丝、草莲、凤尾蕨、线鸡尾草、小金花草、光棍药、黑蕨、火汤蕨、金粉蕨、中华金粉蕨、乌蕨、土黄连、日本乌蕨、水金鸡尾、金鸡尾、地柏枝、虾虾猛、凤尾莲、孔雀尾、金花草、串鱼草、解毒蕨、人头发、乌韭、小叶野鸡尾、凤凰标、小鸡尾草、小蕨萁、野鸡尾、细叶金鸡尾、野黄连、吊金草,苦、寒,心、肝、肺、胃、小肠、大肠,清热、解毒、利湿、止血,"['风热感冒', '咳嗽', '咽痛', '泄泻', '痢疾', '小便淋痛', '湿热黄疸', '吐血', '咳血', '便血', '痔血', '尿血', '疮毒', '跌打损伤', '毒蛇咬伤', '烫火伤']"
黄连,0,云连、雅连、川连、味连、鸡爪连、王连、灾连、支连,苦、寒,心、肝、胃、大肠,泻火、燥湿、解毒、杀虫,"['时行热毒', '伤寒', '热盛心烦', '痞满呕逆', '菌痢', '热泻腹痛', '肺结按', '吐', '衄', '下血', '消渴', '疳积', '蛔虫病', '百日咳', '咽喉肿痛', '火眼', '口疮', '痈疽疮毒', '湿疹', '汤火烫伤']"
鸢根,0,鸢头、扁竹根、赤利麻、土知母、冷水丹、蛤蟆跳缺、蓝花矮陀、九把刀、搜山虎、下搜山、蓝七、天蜈蚣、下山虎、摇痕七、勒马回阳、中搜山、土田七、乌七、蛤蟆七、青蛙七、蜞马七、搜山狗、蛇头知母,苦、辛、寒,脾、胃、大肠,消积、杀虫、破瘀、行水、解毒,"['食积胀满', '蛔虫腹痛', '症瘕臌胀', '咽喉肿痛', '痔瘘', '跌打伤肿', '疮疖肿毒', '蛇犬咬伤']"
黄河裸裂尻鱼,0,湟鱼、小嘴巴鱼,苦、咸、寒,肺、脾、胃、大肠,和血、健胃、解毒,"['月经不调', '消化不良', '疮疖化脓']"
三颗针,0,钢针刺、刺黄连、铜针刺,苦、寒,肝、胃、大肠,清热、利湿、散瘀,"['赤痢', '黄疸', '咽痛', '目赤', '跌打损伤']"
木槿叶,0,0,苦、寒,心、胃、大肠,清热、解毒,"['赤白痢疾', '肠风', '痈肿疮毒']"
黄疸树,0,刺黄连、树黄连、土黄连、长叶小檗、土黄柏、三颗针、土黄檗、黄根檗、黄根刺、黄柏刺、铁树黄连、铁篱笆、土水莲,苦、寒,肝、胃、大肠,清热、解毒,"['肝炎', '胆囊炎', '肠炎', '菌痢', '咽喉炎', '结膜炎', '尿道炎', '疮疡肿毒']"
黄刺皮,0,黄三刺皮、黄三刺、黄檗、刺黄檗、山黄檗、吉尕尔、三颗针,苦、寒,肺、胃、大肠,清湿热、解热毒,"['湿热痢疾', '黄疸', '带下', '热毒痈肿']"
玄明粉,0,白龙粉、风化硝、风化消、元明粉,辛、咸、寒,胃、大肠,泻热、润燥、软坚,"['实热积滞', '大便不通', '目赤肿痛', '咽肿口疮', '痈疽肿毒']"
桦木皮,0,桦皮、桦树皮、白桦皮,苦、寒,肺、胃、大肠,清热、利湿、祛痰、止咳、解毒,"['咽痛喉痹', '咳嗽气喘', '黄疸', '腹泻', '痢疾', '淋证', '小便不利', '乳痈', '疮毒', '痒疹']"
冬葵子,0,葵子、葵菜子,甘、寒,大肠、小肠、膀胱,利水、通淋、滑肠、通便、下乳,"['淋病', '水肿', '大便不通', '乳汗不行']"
偏翅唐松草,0,南马尾连、马尾连、马尾黄连、土黄连,苦、寒,胃、大肠、肝,清热、燥湿、泻火、解毒,"['湿热泻痢', '黄疸', '白带', '风火牙痛', '目赤肿痛', '疮疡肿毒']"
胡黄连,0,假黄连、割孤露泽、胡连、西藏胡黄连,苦、寒,肝、胃、大肠,清湿热、除骨蒸、消疳、消热,"['湿热泻痢', '黄疸', '痔疾', '骨蒸潮热', '小儿疳热']"
花苜蓿,0,扁豆子、苜蓿草、野苜蓿、奇尔克、纳林-胡岑格、布斯项,苦、寒,肝、肺、胃、大肠,清热、解毒、止咳、止血,"['发热', '咳嗽', '痢疾', '外伤出血']"
岩扫把,0,水香草、连钱草、倒地掐、龙眼草、连钱草、倒地抽、石蒜还阳、羊耳、小淫羊藿,苦、寒,肝、胃、大肠,祛风、清热、解毒,"['小儿惊风抽搐', '鹅口疮', '丹毒游风']"
鲜黄连,0,毛黄连、细辛幌子、假细辛、洋虎耳草、常黄连、铁丝草、朝鲜黄连,苦、寒,胃、大肠、肺,清热、燥湿、泻火、解毒,"['湿热泄泻', '赤白痢疾', '脘胁疼痛', '呕吐', '吞酸', '吐血', '衄血', '口舌生疮', '目赤肿痛', '咽痛喉哦', '痈疽疔疮']"
卷丝苦苣苔,0,渣加哈梧、石莲花,甘、苦、寒,肾、肝、大肠,清湿热、解热毒,"['湿热泄泻', '折带过多', '乌头中毒']"
狭眼凤尾蕨,0,0,苦、寒,胃、大肠,止痢、收敛、止血,"['泄泻', '痢疾', '外伤出血']"
猪胆粉,0,0,苦、寒,肝、胆、肺、大肠,清热、润燥、解毒、止咳、平喘,"['热病燥渴', '目赤', '喉痹', '黄疸', '百日咳', '哮喘', '泄泻', '痢疾', '便秘', '痈疮肿毒']"
西藏水黄连,0,0,苦、寒,肝、心、大肠,清热、解毒、凉肝、止痢,"['疮痈肿毒', '湿热黄疸', '痢疾', '结膜炎']"
溪黄草,0,熊胆草、山熊胆、风血草、黄汁草、血风草、溪沟草、山羊面、台湾延胡索、土黄连、四方蒿、香茶菜,苦、寒,肝、胆、大肠,清热、解毒、利湿、退黄、散瘀、消肿,"['湿热黄疽', '胆囊炎', '泄泻', '疮肿', '跌打伤痛']"
苋实,0,苋子、苋菜子、莫实,甘、寒,肝、大肠、膀胱,清肝、明目、通利、二便,"['青盲翳障', '视物昏暗', '白浊血尿', '二便不']"
小三棵针,0,小黄连、三爪黄连、小黄连刺、酸咪咪、刺黄芩、土黄连、老鼠子刺、小鸡脚黄刺,苦、寒,心、肺、大肠,清热、燥湿、泻火、解毒,"['湿热泻痢', '黄疸', '肺热咳嗽', '目赤肿痛', '小儿口疮', '热毒痈肿']"
小山豆根,0,山豆根[四川]、山豆根,苦、寒,肺、心、大肠,清热、解毒、止痛、杀虫,"['咽喉肿痛', '牙痛', '腹痛', '痔疮肿痛', '蛇虫咬伤', '蛲虫病']"
鸦胆子,0,苦参子、老鸦胆、鸦胆、苦棒子、鸦蛋子、鸭蛋子、鸭胆子、解苦楝、小苦楝、苦榛子,苦、寒,大肠、肝,清热、解毒、截疟、止痢、腐蚀、赘疣,"['痢疾', '疟疾', '外赘疣', '鸡眼']"
鸭胆,0,0,苦、寒,肝、大肠,清热、解毒,"['赤肿痛', '痔疮']"
鸭胆子,0,0,苦、寒,大肠,治痢、抗疟,"['久痢', '休息痢', '疟疾']"
淡花当药,0,獐牙菜、加达、当药、水黄连,苦、寒,肝、胃、大肠,清热、解毒、利湿、健胃,"['骨髓炎', '咽喉炎', '扁机体炎', '结膜炎', '肝炎', '消化不良', '痢疾', '疮痈疥癣', '毒蛇咬伤']"
崖松,0,疣果景天、小鹅儿肠[陕西]、小鹅儿肠、半边莲,酸、涩、寒,肺、大肠,清热、解毒,"['小儿丹毒', '细菌性痢疾', '阿米巴痢疾', '汤火伤', '睾丸炎']"
羊不食,0,马尾连、马尾黄连,苦、寒,肝、大肠,清热、解毒、燥湿,"['痢疾', '关节炎', '跌打损伤']"
羊蹄,0,土大黄、牛舌头、羊舌头、野菠菜、羊蹄叶、东方宿、连虫陆、鬼目、败毒菜根、羊蹄大黄、牛舌根、牛舌大黄、鸡脚大黄、牛蹄、野萝卜、野菠菱、癣药、山萝卜、牛大黄,苦、寒,心、肝、大肠,清热、通便、凉血、止血、杀虫、止痒,"['大便秘结', '吐血衄血', '肠风便血', '痔血', '崩漏', '疥癣', '白秃', '痈疮肿毒', '跌打损伤']"
杨树花,0,0,苦、寒,大肠,清热、解毒、化湿、止痢,"['细菌性痢疾', '肠炎']"
洋白蜡树,0,0,苦、寒,肝、大肠、肺,清热、燥湿,['清肝明目']
白花蛇舌草,0,蛇舌草、蛇舌癀、蛇针草、蛇总管、二叶葎、白花十字草、尖刀草、甲猛草、龙舌草、蛇脷草、鹤舌草、矮脚白花蛇利草、目目生珠草、节节结蕊草、鹩哥利、千打捶、羊须草、细叶柳子、珠仔草、定经草、小叶锅巴草、南地珠、散草、竹叶草、奶沙尔、铁沙尔,苦、甘、寒,心、肝、脾、大肠,清热、解毒、利湿,"['肺热喘咳', '咽喉肿痛', '肠痈', '疖肿疮疡', '毒蛇咬伤', '热淋涩痛', '水肿', '痢疾', '肠炎', '湿热黄疸', '癌肿']"
阴,0,句黾（鹰嘴龟、大头龟、鹰龟,甘、咸、寒,大肠,滋阴、潜阳、宁心、补肾,"['眩晕心烦', '失眠', '遗精腰酸', '肺结核', '久泻', '久痢']"
银不换,0,毛蔘箕藤、银锁匙、金线风、九条牛、猪肠换、有毛粪箕笃、金线凤、毛篸箕笃,苦、寒,肺、大肠、肝、膀胱,清热、解毒、利湿、通淋、散瘀、止痛,"['风热感冒', '咽喉疼痛', '痢疾', '砂淋', '跌打损伤']"
硬水黄连,0,水黄连、金鸡脚下黄、黄脚鸡、硬杆水黄连,苦、寒,肝、肺、大肠,清湿热、解毒,"['黄疸', '痢疾', '哮喘', '麻疹合并肺炎', '鼻疳眉赤', '热疮', '']"
白矾,0,明矾、矾石、石涅、羽涅、羽泽、涅石、理石、白君、雪矾、云母矾、生矾,酸、涩、寒,肺、脾、肝、大肠,消痰、燥湿、止泻、止血、解毒、杀虫,"['癫痫', '喉痹', '疚涎壅甚', '肝炎', '黄疸', '黄肿', '胃', '十二指肠溃疡', '子宫脱垂', '白带', '泻痢', '衄血', '口舌生疮', '疮痔疥癣', '水', '火', '虫伤']"
油桐叶,0,桐子树叶,苦、微辛、寒,肝、大肠,消肿、解毒,"['痈肿', '丹毒', '臁疮', '冻疮', '疥癣', '烫伤', '痢疾']"
猪胆,0,0,苦、寒,肝、胆、肺、大肠,清热、润燥、解毒,"['热病里热燥渴', '便秘', '黄疸', '百日咳', '哮喘', '泄泻', '痢疾', '目赤', '喉痹', '聤耳', '痈肿疔疮']"
梓木,0,雷电子,苦、寒,肺、肝、大肠,催吐、止痛,"['霍乱不吐不泻', '手足痛风']"
矩叶大青,0,0,苦、寒,肺、大肠,清热、利咽、凉血、解毒,"['伤寒', '细菌性痢蒺', '口腔炎', '咽喉炎', '扁桃体炎', '鼻衄']"
马蹄根,0,马蹄蕨,苦、涩、寒,心、肺、大肠,清热、解毒、止血、祛湿、利尿,"['肠炎', '痢疾', '食滞腹胀', '肾炎水肿', '肺结核', '咳血', '血崩', '跌打', '风湿', '胃及十二指肠溃疡']"
景天,0,活血三七、八宝、胡豆七、大打不死、戒火、慎火、火母、据火、救火、慎火草、护花草、拔火、谨火、挂臂青、护火、辟火、火丹草、火焰草、八宝草、佛指甲、火炊灯、绣球花、跤蹬草、土三七、胶稔草、美人草、挂壁青、龙头三七、蚕豆七、观音扇、橡皮七、猪脚草,苦、酸、寒,心、肝、肾、大肠,清热、解毒、止血,"['丹毒', '游风', '烦热惊狂', '咯血', '吐血', '疗疮', '肿毒', '风疹', '漆疮', '目赤涩痛', '外伤出血']"
十大功劳根,0,土黄柏、刺黄柏、刺黄芩、刺黄连、老鼠刺、土黄连,苦、寒,脾、肝、大肠,清热、燥湿、消肿、解毒,"['湿热痢疾', '腹泻', '黄疸', '肺痨咳血', '咽喉痛', '目赤肿痛', '疮疡', '湿疹']"
栝楼子,0,瓜蒌仁、栝楼仁、瓜米,甘、寒,肺、胃、大肠,润肺、化痰、滑肠,"['痰热咳嗽', '燥结便秘', '痈肿', '乳少']"
救必应,0,白银树皮、九层皮、白兰香、熊胆木、白木香、羊不吃、土千年健、矮四陀、观音柴、消癀药、白银香、白银树、山熊胆、红子儿、冬青柴、白皮冬青、白山叶、白沉香、狗屎木、冬青仔、小风藤、白凡木、红熊胆、山冬青、白银木、过山风,苦、寒,肺、肝、大肠,清热、解毒、利湿、止痛,"['感冒发热', '咽喉肿痛', '胃痛', '署湿泄泻', '黄疸', '痢疾', '跌打损伤', '风湿痹痛', '湿疹', '疮疖']"
兰石草,0,巴雅杂瓦,甘、苦、寒,肺、胃、大肠,清肺、祛痰、解毒,"['肺炎', '肺脓疡', '流感', '痢疾', '咽喉肿痛']"
五气朝阳草,0,追风七、见肿消、追风草、乌金丹、水杨梅、龙须草、萝卜叶、绿水草、草本水杨梅、老五叶、海棠菜、兰布政、状晕药、路边青,苦、辛、寒,肝、脾、大肠,祛风、除湿、活血、消肿,"['腰腿痹痛', '痢疾', '崩漏白带', '跌打损伤', '痈疽疮疡', '咽痛', '瘰疬']"
管仲,0,番白叶、翻白地榆、槟榔仁整理本、翻背白草、白头翁、涩疙瘩、地管子、地摈榔、白地榆、槟榔仁、地槟榔、马屎根、翻白叶、红地榆、翻转白、银毛委陵菜、番白草、地榆、赤地榆、精地白、光委陵、翻白菜、爬地茶、马水根、白薄草、紫地榆,寒、苦、涩,脾、大肠,清热、消炎、凉血、止血,"['赤白痢疾', '肠炎', '胃痛', '肺结核咯血', '鼻衄', '便血', '血崩', '外伤出血', '疔疮']"
含羞草,0,感应草、喝呼草、知羞草、怕丑草、怕羞草、望江南、惧内草,甘、寒,心、肝、胃、大肠,清热、安神、消积、解毒,"['肠炎', '胃炎', '失眠', '小儿疳积', '目热肿痛', '深部脓肿', '带状疱疹']"
